,Name,Year,Global_Sales
2403,Disney's Magical Quest Starring Mickey and Minnie,2002.0,0.22
2404,Disney's Meet the Robinsons,2007.0,0.33
2405,Disney's PK: Out of the Shadows,2002.0,0.16999999999999998
2406,Disney's Party,2002.0,0.05
2407,Disney's Party,2003.0,0.07
2408,Disney's Peter Pan: Return to Never Land,2002.0,0.11
2409,Disney's Planes,2013.0,0.7
2410,Disney's Stitch: Experiment 626,2002.0,0.31
2411,Disney's Story Studio: Disney's Mulan,1999.0,0.15
2412,Disney's Tarzan,2000.0,0.2
2413,Disney's Tarzan / Disney's Aladdin in Nasira's Revenge / Disney's The Emperor's New Groove Action Game,2003.0,1.23
2414,Disney's Tarzan Untamed,2001.0,0.59
2415,Disney's Tarzan: Return to the Jungle,2002.0,0.35
2416,Disney's The Emperor's New Groove,2000.0,0.31
2417,Disney's The Haunted Mansion,2003.0,0.5499999999999999
2418,Disney's The Jungle Book,2002.0,0.1
2419,Disney's The Lion King,1994.0,3.2
2420,Disney's The Lion King: Simba's Mighty Adventure,2000.0,0.15
2421,Disney's The Little Mermaid: Ariel's Undersea Adventure,2006.0,0.81
2422,Disney's Treasure Planet,2002.0,0.6100000000000001
2423,Disney's Winnie the Pooh's Rumbly Tumbly Adventure,2005.0,0.33
2424,Disruptor,1995.0,0.13
2425,Dissidia 012: Duodecim Final Fantasy,2011.0,0.89
2426,Dissidia: Final Fantasy,2008.0,2.25
2427,Dissidia: Final Fantasy Universal Tuning,2009.0,0.06
2428,Diva Girls: Divas on Ice,2009.0,0.14
2429,Divinity II: Ego Draconis,2009.0,0.32
2430,Divinity II: Flames of Vengeance,2010.0,0.03
2431,Divinity II: The Dragon Knight Saga,2010.0,0.14
2432,Divinity: Original Sin,2014.0,0.02
2433,Divinity: Original Sin,2015.0,0.34
2434,DmC: Devil May Cry,2013.0,1.26
2435,DmC: Devil May Cry,2015.0,0.43
2436,Do-Konjou Shougakussei: Bon Bita - Hadaka no Choujou Ketsusen!! Bita vs. Dokuro Dei!,2010.0,0.04
2437,DoDonPachi Dai-Oujou: Black Label Extra,2009.0,0.02
2438,DoDonPachi Daifukkatsu: Black Label,2011.0,0.01
2439,DoDonPachi Resurrection,2010.0,0.05
2440,DoDonPachi Saidaioujou,2013.0,0.01
2441,Doctor Lautrec and the Forgotten Knights,2011.0,0.16
2442,Doctor Who: Evacuation Earth,2010.0,0.16
2443,Doctor Who: Return to Earth,2010.0,0.19
2444,Dodge Racing: Charger vs Challenger,2009.0,0.15
2445,Dog's Life,2003.0,0.42
2446,Dogz,2004.0,0.63
2447,Dogz,2006.0,0.57
2448,Dokapon Journey,2008.0,0.05
2449,Dokapon Kingdom,2007.0,0.11
2450,Dokapon Kingdom,2008.0,0.13
2451,Doki Doki! PreCure Narikiri Life!,2013.0,0.04
2452,Doki Majo Plus,2009.0,0.02
2453,Doki Oki,1995.0,0.03
2454,Doki-Doki Universe,2013.0,0.06
2455,DokiDoki Majo Shinpan!,2007.0,0.05
2456,DokiDoki Majo Shinpan! 2,2008.0,0.03
2457,Doko Demo Issho,2004.0,0.1
2458,Doko Demo Issho: Let's Gakkou!,2006.0,0.04
2459,Doko Demo Issyo,1999.0,1.07
2460,DokuSui: DokiDoki Suikoden,2011.0,0.01
2461,Dokuro,2012.0,0.01
2462,Dollar Dash,2005.0,1.6
2463,Dolly Kanon Dokidoki Tokimeki Himitsu no Ongaku Katsudou Start Desu!!,2014.0,0.04
2464,Dolphin,1983.0,0.29
2465,Domino Rally,2007.0,0.05
2466,Don Bradman Cricket 14,2014.0,0.03
2467,Don Bradman Cricket 14,2015.0,0.16
2468,Don King Boxing,2009.0,0.35000000000000003
2469,Don King Presents: Prizefighter,2008.0,0.25
2470,Donkey Kong,1981.0,1.46
2471,Donkey Kong,1983.0,1.13
2472,Donkey Kong,1994.0,3.07
2473,Donkey Kong 64,1999.0,5.27
2474,Donkey Kong Barrel Blast,2007.0,0.64
2475,Donkey Kong Classics,1988.0,1.56
2476,Donkey Kong Country,1994.0,9.3
2477,Donkey Kong Country,2000.0,2.19
2478,Donkey Kong Country,2003.0,2.04
2479,Donkey Kong Country 2,2004.0,1.23
2480,Donkey Kong Country 2: Diddy's Kong Quest,1995.0,5.15
2481,Donkey Kong Country 3,2005.0,0.77
2482,Donkey Kong Country 3: Dixie Kong's Double Trouble!,1996.0,3.51
2483,Donkey Kong Country Returns,2010.0,6.59
2484,Donkey Kong Country Returns,2013.0,1.87
2485,Donkey Kong Country: Tropical Freeze,2014.0,1.52
2486,Donkey Kong GB: Dinky Kong & Dixie Kong,2000.0,0.28
2487,Donkey Kong Jr.,1983.0,1.11
2488,Donkey Kong Jungle Beat,2004.0,1.34
2489,Donkey Kong Jungle Beat,2008.0,0.01
2490,Donkey Kong Jungle Climber,2007.0,0.56
2491,Donkey Kong Junior,1981.0,0.97
2492,Donkey Kong Land,1994.0,3.91
2493,Donkey Kong Land II,1996.0,2.35
2494,Donkey Konga,2003.0,1.15
2495,Donkey Konga 2,2004.0,0.39
2496,Dood's Big Adventure,2010.0,0.25
2497,Doodle Hex,2008.0,0.03
2498,Doom,1992.0,0.03
2499,Doom,1994.0,0.78
2500,Doom,2001.0,0.14
2501,Doom (2016),2016.0,2.25
2502,Doom 3,2004.0,0.1
2503,Doom 3,2005.0,1.34
2504,Doom 3 BFG Edition,2012.0,1.11
2505,Doom 3: Resurrection of Evil,2005.0,0.71
2506,Doom 64,1997.0,0.47
2507,Doom II: Hell on Earth,1994.0,3.61
2508,Doom II: Hell on Earth,2002.0,0.04
2509,Dora & Kai-Lan's Pet Shelter,2011.0,0.1
2510,Dora The Explorer: Dora Saves the Snow Princess,2008.0,1.4100000000000001
2511,Dora the Explorer: Dora Puppy,2009.0,0.43
2512,Dora the Explorer: Dora Saves the Crystal Kingdom,2009.0,0.36
2513,Dora the Explorer: Dora Saves the Mermaids,2007.0,1.06
2514,Dora the Explorer: Dora Saves the Mermaids,2008.0,0.12
2515,Dora the Explorer: Game Boy Advance Video Volume 1,2004.0,0.26
2516,Dora the Explorer: Journey to the Purple Planet,2005.0,0.36
2517,Dora the Explorer: Super Spies,2004.0,0.61
2518,Dora the Explorer: Super Star Adventures,2004.0,0.24
2519,Dora the Explorer: The Search for Pirate Pig's Treasure,2002.0,0.26
2520,Dora's Big Birthday Adventure,2010.0,0.24000000000000002
2521,Dora's Cooking Club,2010.0,0.1
2522,DoraMoji: Nobita no Kanji Daisakusen,2015.0,0.03
2523,Dorabase 2: Nettou Ultra Stadium,2009.0,0.12
2524,Dorabase DS: Dramatic Stadium,2007.0,0.21
2525,Doraemon,1986.0,1.15
2526,Doraemon 2: Nobita no Toizurando Daibouken,1993.0,0.05
2527,Doraemon 3: Nobi Dai no Machi SOS!,2000.0,0.15
2528,Doraemon 4: Nobita to Toki no Okoku,1995.0,0.06
2529,Doraemon Wii: Himitsu Douguou Ketteisen!,2007.0,0.01
2530,Doraemon: Nobita and the Island of Miracles,2012.0,0.08
2531,Doraemon: Nobita no Kyouryuu 2006 DS,2006.0,0.05
2532,Doraemon: Nobita no Shin Makai Daibouken DS,2007.0,0.07
2533,Doraemon: Nobita no Uchuu Eiyuuki,2015.0,0.06
2534,Doraemon: Nobita to Himitsu Dougu Hakubutsukan,2013.0,0.07
2535,Doraemon: Nobita to Midori no Kyojinden DS,2008.0,0.09
2536,Doraemon: Shin Nobita no Daimakyou Peko to 5-nin no Tankenta,2014.0,0.04
2537,Doraemon: Shin Nobita no Nihon Tanjou,2016.0,0.04
2538,Doshin the Giant,2002.0,0.14
2539,Double Dragon,1989.0,0.47
2540,Double Dragon Advance,2003.0,0.05
2541,Double Pack: Finding Nemo / The Incredibles,2006.0,0.42
2542,Double Sequence: The Q-Virus Invasion,2008.0,0.01
2543,Double Value!: ATV Thunder Ridge Riders / Monster Trucks Mayhem,2007.0,0.04
2544,Doubutsu no Mori,2001.0,0.31
2545,Doukoku Shoshite...,1998.0,0.11
2546,Doukyuusei,1995.0,0.14
2547,Doukyuusei 2,1997.0,0.13
2548,Doukyuusei if,1996.0,0.26
2549,Downforce,2002.0,0.05
2550,Downhill Domination,2003.0,0.47
2551,Downstream Panic!,2008.0,0.03
2552,Downtown Nekketsu Jidaigek,2015.0,0.02
2553,Downtown Nekketsu Koushinkyoku: Soreyuke Daiundoukai All-Star Special,2015.0,0.02
2554,Downtown no Gaki no Tsukai Yaarahen de!! Zettai ni Tsukamatte Haikenai Gasu Kurobikari Land,2015.0,0.05
2555,Dr. Mario,1989.0,5.34
2556,Dr. Mario,1990.0,4.85
2557,Dr. Mario / Puzzle League,2005.0,0.33
2558,Dr. Mario 64,2001.0,0.42
2559,Dr. Muto,2002.0,0.25
2560,Dr. Seuss' The Cat in the Hat,2003.0,0.67
2561,Dr. Seuss: Green Eggs and Ham,2003.0,0.05
2562,Dr. Seuss: How the Grinch Stole Christmas,2007.0,0.31
2563,Dr. Slump & Arale-Chan,2008.0,0.01
2564,Draglade,2007.0,0.1
2565,Draglade (JP sales),2007.0,0.04
2566,Dragon Age II,2011.0,2.6
2567,Dragon Age Origins: Awakening,2010.0,0.87
2568,Dragon Age: Inquisition,2014.0,4.81
2569,Dragon Age: Origins,2009.0,4.77
2570,Dragon Age: Origins - Ultimate Edition,2010.0,0.14
2571,Dragon Ball GT: Final Bout,1997.0,0.27
2572,Dragon Ball GT: Game Boy Advance Video Volume 1,2004.0,0.17
2573,Dragon Ball GT: Transformation,2005.0,0.28
2574,Dragon Ball Heroes: Ultimate Mission,2013.0,0.29
2575,Dragon Ball Heroes: Ultimate Mission 2,2014.0,0.31
2576,Dragon Ball Kai: Ultimate Butouden,2011.0,0.09
2577,Dragon Ball Z,1993.0,1.45
2578,Dragon Ball Z Hyper Dimension,1995.0,0.21
2579,Dragon Ball Z Super Gokuden: Kakusei-Hen,1995.0,0.11
2580,Dragon Ball Z for Kinect,2012.0,0.01
2581,Dragon Ball Z: Attack of the Saiyans,2009.0,0.38
2582,Dragon Ball Z: Battle of Z,2014.0,0.53
2583,Dragon Ball Z: Budokai,2002.0,3.09
2584,Dragon Ball Z: Budokai,2003.0,0.69
2585,Dragon Ball Z: Budokai 2,2003.0,2.41
2586,Dragon Ball Z: Budokai 2,2004.0,0.27
2587,Dragon Ball Z: Budokai 3,2004.0,1.94
2588,Dragon Ball Z: Budokai Tenkaichi,2005.0,1.66
2589,Dragon Ball Z: Budokai Tenkaichi 2,2006.0,1.09
2590,Dragon Ball Z: Budokai Tenkaichi 3,2007.0,4.04
2591,Dragon Ball Z: Burst Limit,2008.0,1.35
2592,Dragon Ball Z: Buu's Fury,2004.0,0.61
2593,Dragon Ball Z: Buu's Fury / Dragon Ball GT: Transformation,2006.0,0.02
2594,Dragon Ball Z: Chou Saiya Densetsu,1992.0,0.58
2595,Dragon Ball Z: Collectible Card Game,2002.0,0.46
2596,Dragon Ball Z: Extreme Butoden,2015.0,0.33
2597,Dragon Ball Z: Harukanaru Densetsu,2007.0,0.21
2598,Dragon Ball Z: Harukanaru Densetsu (JP sales),2007.0,0.15
2599,Dragon Ball Z: Idainaru Dragon Ball Densetsu,1995.0,0.15
2600,Dragon Ball Z: Idainaru Dragon Ball Densetsu,1996.0,0.19
2601,Dragon Ball Z: Infinite World,2008.0,0.36
2602,Dragon Ball Z: La Legende Saien,1993.0,1.2
2603,Dragon Ball Z: Sagas,2005.0,0.9099999999999999
2604,Dragon Ball Z: Shin Budokai,2006.0,0.55
2605,Dragon Ball Z: Shin Budokai - Another Road,2007.0,0.44
2606,Dragon Ball Z: Shin Butouden,1995.0,0.09
2607,Dragon Ball Z: Supersonic Warriors,2004.0,0.51
2608,Dragon Ball Z: Supersonic Warriors 2,2005.0,0.5
2609,Dragon Ball Z: Taiketsu,2003.0,1.08
2610,Dragon Ball Z: Tenkaichi Tag Team,2010.0,0.27
2611,Dragon Ball Z: The Legacy of Goku,2002.0,1.69
2612,Dragon Ball Z: The Legacy of Goku I & II,2005.0,0.08
2613,Dragon Ball Z: The Legacy of Goku II,2003.0,1.09
2614,Dragon Ball Z: Ultimate Tenkaichi,2011.0,1.1600000000000001
2615,Dragon Ball Z: Ultime Menace,1993.0,0.73
2616,Dragon Ball: Advanced Adventure,2004.0,0.04
2617,Dragon Ball: Daimaou Fukkatsu,1988.0,1.25
2618,Dragon Ball: Evolution,2009.0,0.1
2619,Dragon Ball: Fusions,2016.0,0.17
2620,Dragon Ball: Origins,2008.0,0.13
2621,Dragon Ball: Origins (JP & incomplete US sales),2008.0,0.22
2622,Dragon Ball: Origins 2,2010.0,0.16
2623,Dragon Ball: Raging Blast,2009.0,1.28
2624,Dragon Ball: Raging Blast 2,2010.0,1.47
2625,Dragon Ball: Revenge of King Piccolo,2009.0,0.2
2626,Dragon Ball: XenoVerse,2015.0,2.18
2627,Dragon Blade: Wrath of Fire,2007.0,0.19
2628,Dragon Booster,2005.0,0.02
2629,Dragon Force,1996.0,0.3
2630,Dragon Force II: Kamisarishi Daichi ni,1998.0,0.08
2631,Dragon Quest & Final Fantasy in Itadaki Street Portable,2006.0,0.11
2632,Dragon Quest 25 Shuunen Kinin: Famicom & Super Famicom Dragon Quest I-II-III,2011.0,0.47
2633,Dragon Quest Builders: Revive Alefgard,2016.0,0.64
2634,Dragon Quest Characters: Torneko no Daibouken 3: Fushigi no Dungeon,2002.0,0.54
2635,Dragon Quest Heroes II: Twin Kings and the Prophecy's End,2016.0,0.64
2636,Dragon Quest Heroes: Rocket Slime,2005.0,0.45
2637,Dragon Quest Heroes: The World's Tree Woe and the Blight Below,2015.0,1.2
2638,Dragon Quest I & II,1993.0,1.15
2639,Dragon Quest III: Soshite Densetsu e...,1996.0,1.36
2640,Dragon Quest IV: Chapters of the Chosen,2007.0,1.64
2641,Dragon Quest IV: Michibikareshi Monotachi,2001.0,1.21
2642,Dragon Quest IX: Sentinels of the Starry Skies,2009.0,5.84
2643,Dragon Quest Monsters 1·2,2002.0,0.32
2644,Dragon Quest Monsters 2,2001.0,1.56
2645,Dragon Quest Monsters 2,2014.0,0.79
2646,Dragon Quest Monsters Joker 3,2016.0,0.63
2647,Dragon Quest Monsters: Battle Road Victory,2010.0,0.32
2648,Dragon Quest Monsters: Caravan Heart,2003.0,0.66
2649,Dragon Quest Monsters: Joker,2006.0,1.78
2650,Dragon Quest Monsters: Joker 2,2010.0,1.45
2651,Dragon Quest Monsters: Joker 2 Professional,2011.0,0.62
2652,Dragon Quest Monsters: Terry's Wonderland 3D,2012.0,0.96
2653,Dragon Quest Swords: The Masked Queen and the Tower of Mirrors,2007.0,0.71
2654,Dragon Quest V: Hand of the Heavenly Bride,2008.0,1.6
2655,Dragon Quest V: Tenkuu no Hanayome,1992.0,2.79
2656,Dragon Quest V: Tenkuu no Hanayome,2004.0,1.65
2657,Dragon Quest VI: Maboroshi no Daichi,1995.0,3.19
2658,Dragon Quest VI: Realms of Revelation,2010.0,1.81
2659,Dragon Quest VII: Warriors of Eden,2000.0,4.47
2660,Dragon Quest VII: Warriors of Eden,2013.0,1.42
2661,Dragon Quest VIII: Journey of the Cursed King,2004.0,5.21
2662,Dragon Quest VIII: Journey of the Cursed King,2015.0,0.86
2663,Dragon Quest X,2012.0,0.96
2664,Dragon Quest X,2013.0,0.4
2665,Dragon Quest X,2014.0,0.17
2666,Dragon Quest X: All in One Package,2015.0,0.01
2667,Dragon Quest: Shounen Yangus to Fushigi no Dungeon,2006.0,0.29
2668,Dragon Rage,2001.0,0.06
2669,Dragon Shadow Spell,2007.0,0.08
2670,Dragon Slayer: The Legend of Heroes,1992.0,0.07
2671,Dragon Slayer: The Legend of Heroes,1994.0,0.08
2672,Dragon Tales: Dragon Adventures,2003.0,0.02
2673,Dragon Tales: Dragon Seek,2000.0,0.09
2674,Dragon Tamer: Sound Spirit,2007.0,0.03
2675,Dragon Valor,1999.0,0.07
2676,Dragon Warrior,1986.0,2.52
2677,Dragon Warrior I&II,1999.0,0.77
2678,Dragon Warrior II,1987.0,2.56
2679,Dragon Warrior III,1988.0,3.87
2680,Dragon Warrior III,2000.0,0.81
2681,Dragon Warrior IV,1990.0,3.12
2682,Dragon Warrior Monsters,1998.0,2.35
2683,Dragon Zakura DS,2007.0,0.01
2684,Dragon's Crown,2013.0,0.91
2685,Dragon's Dogma,2012.0,2.58
2686,Dragon's Dogma Online,2015.0,0.11
2687,Dragon's Dogma Online: Season 2,2016.0,0.01
2688,Dragon's Lair,2010.0,0.02
2689,Dragon's Lair 3D: Return to the Lair,2002.0,0.09
2690,Dragon's Lair Trilogy,2010.0,0.16
2691,DragonHeart: Fire & Steel,1996.0,0.03
2692,Dragoneer's Aria,2007.0,0.07
2693,Dragonfire,1981.0,0.37
2694,Dragonseeds,1998.0,0.1
2695,Drakan: The Ancients' Gates,2002.0,0.26
2696,Drake & Josh: Talent Showdown,2007.0,0.03
2697,Drakengard,2003.0,0.65
2698,Drakengard 2,2005.0,0.13
2699,Drakengard 3,2013.0,0.3
2700,Drakensang: The Dark Eye,2009.0,0.02
2701,Drama Queens,2009.0,0.08
2702,Dramatic Dungeon: Sakura Wars - Kimi Arugatame,2008.0,0.05
2703,Dramatic Soccer Game: Nippon Daihyou Senshu Ninarou!,2002.0,0.04
2704,Dramatical Murder Re:code,2014.0,0.01
2705,Drawn To Life: SpongeBob SquarePants Edition,2008.0,1.49
2706,Drawn to Life,2007.0,0.79
2707,Drawn to Life Collection,2010.0,0.15
2708,Drawn to Life: The Next Chapter,2009.0,1.4100000000000001
2709,Dream C Club,2009.0,0.07
2710,Dream C Club,2012.0,0.02
2711,Dream C Club Portable,2010.0,0.06
2712,Dream C Club Zero,2011.0,0.03
2713,Dream C Club: GoGo,2014.0,0.02
2714,Dream Chronicles,2010.0,0.02
2715,Dream Club Zero Portable,2011.0,0.03
2716,Dream Dance & Cheer,2009.0,0.07
2717,Dream Day: Wedding Destinations,2009.0,0.08
2718,Dream Girl Premier,2015.0,0.03
2719,Dream Pinball 3D,2008.0,0.17
2720,Dream Salon,2009.0,0.24
2721,DreamWorks Super Star Kartz,2011.0,0.5800000000000001
2722,Dreamcast Collection,2011.0,0.24
2723,Dreamer Series: Babysitter,2009.0,0.06
2724,Dreamer Series: Horse Trainer,2008.0,0.02
2725,Dreamer Series: Pop Star,2009.0,0.07
2726,Dreamer Series: Puppy Trainer,2008.0,0.05
2727,Dreamer Series: Shop Owner,2009.0,0.08
2728,Dreamer Series: Teacher,2009.0,0.09
2729,Dreamer Series: Top Model,2009.0,0.11
2730,Dreamer Series: Zoo Keeper,2010.0,0.06
2731,Dreamfall: The Longest Journey,2006.0,0.04
2732,Dreamworks 2-in-1 Party Pack,2010.0,0.15
2733,Dreamworks Madagascar Kartz,2009.0,1.41
2734,Drift King Shutokou Battle '94,1994.0,0.2
2735,Driv3r,2004.0,1.99
2736,Driv3r,2005.0,0.03
2737,DriveClub,2014.0,2.0
2738,Driven,2001.0,0.18
2739,Driven,2002.0,0.08
2740,Driver,1999.0,6.27
2741,Driver '76,2007.0,0.25
2742,Driver 2,2000.0,4.73
2743,Driver 2 Advance,2002.0,0.34
2744,Driver: Parallel Lines,2006.0,0.35000000000000003
2745,Driver: Parallel Lines,2007.0,0.03
2746,Driver: Renegade,2011.0,0.09
2747,Driver: San Francisco,2011.0,2.06
2748,Drivers Ed Portable,2008.0,0.05
2749,Driving Emotion Type-S,2000.0,0.18
2750,Driving Simulator 2011,2011.0,0.01
2751,Drome Racers,2002.0,0.13
2752,Drome Racers,2003.0,0.06
2753,Drone Tactics,2007.0,0.02
2754,DropCast,2008.0,0.06
2755,Dropship: United Peace Force,2002.0,0.1
2756,DrumMania,2000.0,0.15
2757,DrumMania 7th Mix,2001.0,0.03
2758,Dual Hearts,2002.0,0.05
2759,Dual Heroes,1997.0,0.05
2760,DualPenSports,2011.0,0.11
2761,Ducati Moto,2008.0,0.03
2762,Ducati World Racing Challenge,2001.0,0.03
2763,Duck Hunt,1984.0,28.31
2764,DuckTales: Remastered,2013.0,0.16999999999999998
2765,Duel Love: Koisuru Otome wa Shouri no Megami,2008.0,0.01
2766,Duel Masters,2004.0,0.27
2767,Duel Masters: Kaijudo Showdown,2004.0,0.22
2768,Duel Masters: Sempai Legends,2003.0,0.29
2769,Duel Masters: Shadow of the Code,2004.0,0.01
2770,Duke Nukem 64,1997.0,0.44
2771,Duke Nukem Forever,2011.0,2.02
2772,Duke Nukem Trilogy: Critical Mass,2011.0,0.04
2773,Duke Nukem: Land of the Babes,2000.0,0.08
2774,Duke Nukem: Time to Kill,1998.0,1.38
2775,Duke Nukem: Total Meltdown,1997.0,0.61
2776,Duke Nukem: Zero Hour,1999.0,0.26
2777,Dunamis 15,2011.0,0.04
2778,Dune 2000,1999.0,0.25
2779,Dungeon Defenders,2011.0,0.02
2780,Dungeon Explorer: Warriors of Ancient Arts,2007.0,0.06999999999999999
2781,Dungeon Hunter Alliance,2012.0,0.22
2782,Dungeon Keeper 2,1999.0,0.06
2783,Dungeon Maker II: The Hidden War,2007.0,0.07
2784,Dungeon Maker: Hunting Ground,2006.0,0.03
2785,Dungeon Raiders,2009.0,0.05
2786,Dungeon Siege II,2005.0,0.03
2787,Dungeon Siege III,2011.0,0.93
2788,Dungeon Siege: Throne of Agony,2006.0,0.16
2789,Dungeon Travelers 2: The Royal Library & The Monster Seal,2013.0,0.08
2790,Dungeon Travelers 2: The Royal Library & The Monster Seal,2014.0,0.18
2791,Dungeons,2011.0,0.09
2792,Dungeons & Dragons Heroes,2003.0,0.26
2793,Dungeons & Dragons Tactics,2007.0,0.1
2794,Dungeons & Dragons: Eye of the Beholder,2002.0,0.26
2795,Dungeons & Dragons: Neverwinter Nights - Complete,2011.0,0.01
2796,Dungeons & Dragons: Shadow over Mystara,2013.0,0.02
2797,Dungeons - The Dark Lord,2011.0,0.02
2798,Durarara!! 3-way Standoff,2010.0,0.05
2799,Durarara!! 3way Standoff: Alley,2011.0,0.04
2800,Durarara!! Relay,2015.0,0.01
2801,Dying Light,2015.0,2.65
2802,Dynamite Headdy,1993.0,0.05
2803,Dynasty Tactics,2002.0,0.29
2804,Dynasty Tactics 2,2003.0,0.11
2805,Dynasty Warriors,1997.0,0.27
2806,Dynasty Warriors,2004.0,0.51
2807,Dynasty Warriors 2,2000.0,0.83
2808,Dynasty Warriors 3,2001.0,1.87
2809,Dynasty Warriors 3,2002.0,0.08
2810,Dynasty Warriors 3: Xtreme Legends,2002.0,1.0
2811,Dynasty Warriors 4,2003.0,2.27
2812,Dynasty Warriors 4 Empires,2004.0,0.32
2813,Dynasty Warriors 4: Xtreme Legends,2003.0,0.86
2814,Dynasty Warriors 5,2005.0,1.44
2815,Dynasty Warriors 5 Empires,2006.0,0.47000000000000003
2816,Dynasty Warriors 5: Xtreme Legends,2005.0,0.57
2817,Dynasty Warriors 6,2007.0,1.01
2818,Dynasty Warriors 6,2008.0,0.25
2819,Dynasty Warriors 6 (JP sales),2008.0,0.25
2820,Dynasty Warriors 6 Empires,2009.0,0.5800000000000001
2821,Dynasty Warriors 7,2011.0,1.1600000000000001
2822,Dynasty Warriors 7: Empires,2012.0,0.14
2823,Dynasty Warriors 7: Xtreme Legends,2011.0,0.27
2824,Dynasty Warriors 8,2013.0,0.77
2825,Dynasty Warriors 8: Empires,2014.0,0.34
2826,Dynasty Warriors 8: Empires,2015.0,0.02
2827,Dynasty Warriors 8: Xtreme Legends,2013.0,0.31
2828,Dynasty Warriors 8: Xtreme Legends,2014.0,0.3
2829,Dynasty Warriors Advance,2005.0,0.11
2830,Dynasty Warriors DS: Fighter's Battle,2007.0,0.07
2831,Dynasty Warriors Gundam,2007.0,0.6699999999999999
2832,Dynasty Warriors Next,2011.0,0.27
2833,Dynasty Warriors Vol. 2,2006.0,0.05
2834,Dynasty Warriors Vol. 2 (JP sales),2006.0,0.04
2835,Dynasty Warriors Vs,2012.0,0.06
2836,Dynasty Warriors: Eiketsuden,2016.0,0.01
2837,Dynasty Warriors: Gundam,2008.0,0.28
2838,Dynasty Warriors: Gundam 2,2008.0,1.03
2839,Dynasty Warriors: Gundam 3,2010.0,0.73
2840,Dynasty Warriors: Gundam Reborn,2013.0,0.36
2841,Dynasty Warriors: Strikeforce,2009.0,0.97
2842,E.T. The Extra-Terrestrial,2001.0,0.01
2843,E.T. The Extra-Terrestrial: Interplanetary Mission,2001.0,0.04
2844,E.T.: The Extra Terrestrial,1981.0,1.97
2845,E.X. Troopers,2012.0,0.12000000000000001
2846,E0: Enemy Zero,1996.0,0.41
2847,EA Playground,2007.0,1.6300000000000001
2848,EA Replay,2006.0,0.11
2849,EA Sports Active,2009.0,3.92
2850,EA Sports Active 2,2010.0,2.6100000000000003
2851,EA Sports Active NFL Training Camp,2010.0,0.81
2852,EA Sports Active: More Workouts,2009.0,1.16
2853,EA Sports Grand Slam Tennis,2009.0,0.93
2854,EA Sports MMA,2010.0,0.74
2855,EA Sports UFC,2014.0,1.5
2856,EA Sports UFC 2,2016.0,1.29
2857,ECW Anarchy Rulz,1999.0,0.11
2858,ECW Hardcore Revolution,1999.0,0.48
2859,ECW Hardcore Revolution,2000.0,0.22
2860,ESA Foundation Compilation,2005.0,0.19
2861,ESA Game Pack,2010.0,0.1
2862,ESPN College Hoops,2003.0,0.16
2863,ESPN College Hoops 2K5,2004.0,1.22
2864,ESPN Extreme Games,1994.0,0.38
2865,ESPN Final Round Golf 2002,2001.0,0.17
2866,ESPN Great Outdoor Games Bass 2002,2001.0,0.05
2867,ESPN International Track & Field,2000.0,0.19
2868,ESPN International Winter Sports 2002,2002.0,0.11
2869,ESPN MLB Baseball,2004.0,0.34
2870,ESPN MLS ExtraTime 2002,2002.0,0.04
2871,ESPN NBA 2K5,2004.0,2.54
2872,ESPN NBA 2Night,2000.0,0.09
2873,ESPN NBA 2Night 2002,2002.0,0.04
2874,ESPN NBA Basketball,2003.0,0.81
2875,ESPN NFL 2K5,2004.0,4.25
2876,ESPN NFL Football,2003.0,0.92
2877,ESPN NFL Primetime 2002,2001.0,0.08
2878,ESPN NFL Primetime 2002,2002.0,0.02
2879,ESPN NHL 2K5,2004.0,1.3
2880,ESPN NHL Hockey,2003.0,0.34
2881,ESPN National Hockey Night,2001.0,0.07
2882,ESPN Winter X Games: Snowboarding 2002,2000.0,0.21
2883,ESPN Winter X Games: Snowboarding 2002,2002.0,0.03
2884,ESPN Winter X-Games: Snowboarding 2002,2000.0,0.06
2885,ESPN X Games Skateboarding,2001.0,0.54
2886,ESPN X-Games Pro Boarder,1997.0,0.32
2887,ESPN: Sports Connection,2012.0,0.37
2888,EVE Online,2003.0,0.22
2889,EVE: burst error,1997.0,0.21
2890,EX Monopoly,2001.0,0.22
2891,Earth Defense Force 2017,2006.0,0.08
2892,Earth Defense Force 2017 (old JP sales),2006.0,0.02
2893,Earth Defense Force 2017 Portable,2012.0,0.06
2894,Earth Defense Force 2025,2013.0,0.51
2895,Earth Defense Force 2025.1: The Shadow of New Despair,2015.0,0.1
2896,Earth Defense Force 2: Invaders from Planet Space,2011.0,0.14
2897,Earth Defense Force 2: Invaders from Planet Space,2014.0,0.11
2898,Earth Defense Force 4.1: The Shadow of New Despair,2015.0,0.05
2899,Earth Defense Force: Insect Armageddon,2011.0,0.39
2900,Earth Seeker,2011.0,0.02
2901,EarthBound,1994.0,0.81
2902,Earthworm Jim,2001.0,0.29
2903,Earthworm Jim 2,2002.0,0.03
2904,Earthworm Jim 3D,1999.0,0.12
2905,East India Company,2009.0,0.01
2906,East India Company Collection,2010.0,0.03
2907,Easy Piano,2009.0,0.17
2908,Eat Lead: The Return of Matt Hazard,2009.0,0.26
2909,Ebikore Photo Kano Kiss,2015.0,0.03
2910,Ecco the Dolphin,1992.0,0.12
2911,Ecco the Dolphin: Defender of the Future,2002.0,0.14
