,Name,Year,Global_Sales
120,AKB1/48: Idol to Guam de Koishitara...,2011.0,0.4
121,AKB1/48: Idol to Koishitara...,2010.0,0.41
122,AKB48+Me,2012.0,0.11
123,AMF Bowling 2004,2003.0,0.3
124,AMF Bowling Pinbusters!,2007.0,0.91
125,AMF Bowling Pinbusters!,2008.0,0.07
126,AMF Bowling World Lanes,2008.0,0.36
127,AMF Xtreme Bowling,2006.0,0.02
128,AMNESIA World,2014.0,0.03
129,APB Reloaded,2011.0,0.04
130,ASH: Archaic Sealed Heat,2007.0,0.12
131,ATV Offroad Fury,2001.0,2.41
132,ATV Offroad Fury 2,2002.0,2.18
133,ATV Offroad Fury 3,2004.0,1.2
134,ATV Offroad Fury Pro,2006.0,0.46
135,ATV Offroad Fury: Blazin' Trails,2005.0,0.57
136,ATV Quad Kings,2009.0,0.22
137,ATV Quad Kings,2010.0,0.11
138,ATV Quad Power Racing 2,2003.0,1.57
139,ATV/Monster Truck Mayhem,2007.0,0.36
140,ATV: Quad Frenzy,2005.0,0.11
141,ATV: Quad Power Racing,2000.0,1.04
142,ATV: Quad Power Racing,2002.0,0.26
143,Aa Megami-samaa,2007.0,0.01
144,Abunai: Koi no Sousa Shitsu,2012.0,0.01
145,Abunai: Koi no Sousa Shitsu,2015.0,0.02
146,Academy of Champions: Soccer,2009.0,0.13
147,Accel World: Ginyoku no Kakusei,2012.0,0.06
148,Accel World: Kasoku no Chouten,2013.0,0.03
149,Ace Attorney 6,2016.0,0.27
150,Ace Attorney Investigations 2,2011.0,0.26
151,Ace Attorney Investigations: Miles Edgeworth,2009.0,0.76
152,Ace Combat 04: Shattered Skies,2001.0,3.17
153,Ace Combat 2,1997.0,0.89
154,Ace Combat 3: Electrosphere,1999.0,0.83
155,Ace Combat 5: The Unsung War,2004.0,1.71
156,Ace Combat 6: Fires of Liberation,2007.0,1.02
157,Ace Combat X: Skies of Deception,2006.0,0.99
158,Ace Combat Zero: The Belkan War,2006.0,0.51
159,Ace Combat: Assault Horizon,2011.0,1.23
160,Ace Combat: Assault Horizon Legacy,2011.0,0.24
161,Ace Combat: Joint Assault,2010.0,0.29
162,Achtung Panzer: Kharkov 1943,2010.0,0.02
163,Act of Aggression,2015.0,0.01
164,Action Bass,2000.0,1.14
165,Action Force,1982.0,0.54
166,Active Health with Carol Vorderman,2009.0,0.19
167,Active Life Explorer,2010.0,0.15
168,Active Life: Extreme Challenge,2009.0,0.48
169,Active Life: Magical Carnival,2011.0,0.05
170,Active Life: Outdoor Challenge,2008.0,1.55
171,Activision Anthology,2002.0,0.5
172,Activision Anthology,2003.0,0.05
173,Activision Hits: Remixed,2006.0,0.06
174,Actua Tennis,1997.0,0.13
